codigo_barrio,nombre_barrio,cluster_k5,cluster_k6
11.0,PALACIO,3,3
12.0,EMBAJADORES,3,3
13.0,CORTES,3,3
14.0,JUSTICIA,3,3
15.0,UNIVERSIDAD,3,3
16.0,SOL,3,3
21.0,IMPERIAL,1,2
22.0,ACACIAS,1,2
23.0,CHOPERA,1,2
24.0,LEGAZPI,1,2
25.0,DELICIAS,1,2
26.0,PALOS DE LA FRONTERA,1,2
27.0,ATOCHA,2,1
31.0,PACIFICO,1,2
32.0,ADELFAS,1,2
33.0,ESTRELLA,1,1
34.0,IBIZA,1,2
35.0,LOS JERONIMOS,1,2
36.0,NI�O JESUS,1,1
41.0,RECOLETOS,1,2
42.0,GOYA,1,2
43.0,FUENTE DEL BERRO,1,2
44.0,GUINDALERA,1,2
45.0,LISTA,1,2
46.0,CASTELLANA,1,2
51.0,EL VISO,2,1
52.0,PROSPERIDAD,1,2
53.0,CIUDAD JARDIN,1,2
54.0,HISPANOAMERICA,1,2
55.0,NUEVA ESPA�A,1,1
56.0,CASTILLA,1,1
61.0,BELLAS VISTAS,1,2
62.0,CUATRO CAMINOS,1,2
63.0,CASTILLEJOS,1,2
64.0,ALMENARA,1,1
65.0,VALDEACEDERAS,1,1
66.0,BERRUGUETE,1,1
71.0,GAZTAMBIDE,1,2
72.0,ARAPILES,1,2
73.0,TRAFALGAR,1,2
74.0,ALMAGRO,1,2
75.0,RIOS ROSAS,1,2
76.0,VALLEHERMOSO,1,2
81.0,EL PARDO,2,1
82.0,FUENTELARREINA,2,1
83.0,PE�AGRANDE,1,2
84.0,PILAR,1,2
85.0,LA PAZ,2,1
86.0,VALVERDE,0,5
87.0,MIRASIERRA,2,1
88.0,EL GOLOSO,2,1
91.0,CASA DE CAMPO,1,2
92.0,ARG�ELLES,1,2
93.0,CIUDAD UNIVERSITARIA,2,1
94.0,VALDEZARZA,1,2
95.0,VALDEMARIN,2,1
96.0,EL PLANTIO,2,1
97.0,ARAVACA,2,1
101.0,LOS CARMENES,2,1
102.0,PUERTA DEL ANGEL,0,0
103.0,LUCERO,0,0
104.0,ALUCHE,0,0
105.0,CAMPAMENTO,2,1
106.0,CUATRO VIENTOS,2,1
107.0,AGUILAS,0,0
111.0,COMILLAS,0,0
112.0,OPA�EL,0,0
113.0,SAN ISIDRO,0,0
114.0,VISTA ALEGRE,0,0
115.0,PUERTA BONITA,0,0
116.0,BUENAVISTA,0,0
117.0,ABRANTES,0,0
121.0,ORCASITAS,2,0
122.0,ORCASUR,2,1
123.0,SAN FERMIN,2,0
124.0,ALMENDRALES,2,1
125.0,MOSCARDO,2,0
126.0,ZOFIO,2,1
127.0,PRADOLONGO,2,1
131.0,ENTREVIAS,0,0
132.0,SAN DIEGO,0,0
133.0,PALOMERAS BAJAS,0,0
134.0,PALOMERAS SURESTE,0,0
135.0,PORTAZGO,0,0
136.0,NUMANCIA,0,0
141.0,PAVONES,4,4
142.0,HORCAJO,4,4
143.0,MARROQUINA,4,4
144.0,MEDIA LEGUA,4,4
145.0,FONTARRON,4,4
146.0,VINATEROS,4,4
151.0,VENTAS,0,0
152.0,PUEBLO NUEVO,0,0
153.0,QUINTANA,1,0
154.0,LA CONCEPCION,1,1
155.0,SAN PASCUAL,2,1
156.0,SAN JUAN BAUTISTA,2,1
157.0,COLINA,2,1
158.0,ATALAYA,2,1
159.0,COSTILLARES,2,1
161.0,PALOMAS,2,1
162.0,PIOVERA,2,1
163.0,CANILLAS,1,1
164.0,PINAR DEL REY,0,0
165.0,APOSTOL SANTIAGO,2,1
166.0,VALDEFUENTES,0,5
171.0,VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE,4,4
172.0,SAN CRISTOBAL,4,4
173.0,BUTARQUE,4,4
174.0,LOS ROSALES,4,4
175.0,ANGELES,4,4
181.0,CASCO HISTORICO DE VALLECAS,0,0
182.0,SANTA EUGENIA,2,1
191.0,CASCO HISTORICO DE VICALVARO,4,4
192.0,VALDEBERNARDO,1,2
201.0,SIMANCAS,0,0
202.0,HELLIN,2,1
203.0,AMPOSTA,2,1
204.0,ARCOS,2,0
205.0,ROSAS,2,1
206.0,REJAS,2,1
207.0,CANILLEJAS,2,0
208.0,EL SALVADOR,2,1
211.0,ALAMEDA DE OSUNA,2,1
212.0,AEROPUERTO,2,1
213.0,CASCO HISTORICO DE BARAJAS,2,1
214.0,TIMON,2,1
215.0,CORRALEJOS,2,1
