Anyo,codigo_distrito,codigo_barrio,total_viviendas
2019,1,11,11305.0
2019,1,12,22089.0
2019,1,13,5406.0
2019,1,14,8582.0
2019,1,15,16189.0
2019,1,16,3725.0
2019,2,21,9633.0
2019,2,22,15442.0
2019,2,23,8585.0
2019,2,24,7628.0
2019,2,25,11525.0
2019,2,26,11768.0
2019,2,27,424.0
2019,3,31,14665.0
2019,3,32,7613.0
2019,3,33,8691.0
2019,3,34,9268.0
2019,3,35,2804.0
2019,3,36,5632.0
2019,4,41,6664.0
2019,4,42,13237.0
2019,4,43,9302.0
2019,4,44,17615.0
2019,4,45,9233.0
2019,4,46,6900.0
2019,5,51,6082.0
2019,5,52,15908.0
2019,5,53,8002.0
2019,5,54,12381.0
2019,5,55,9227.0
2019,5,56,6640.0
2019,6,61,11860.0
2019,6,62,15031.0
2019,6,63,9351.0
2019,6,64,9324.0
2019,6,65,10607.0
2019,6,66,10255.0
2019,7,71,10498.0
2019,7,72,11195.0
2019,7,73,11718.0
2019,7,74,8080.0
2019,7,75,12139.0
2019,7,76,8383.0
2019,8,81,1315.0
2019,8,82,1114.0
2019,8,83,16991.0
2019,8,84,19542.0
2019,8,85,12550.0
2019,8,86,22777.0
2019,8,87,10568.0
2019,8,88,5638.0
2019,9,91,5606.0
2019,9,92,10401.0
2019,9,93,6140.0
2019,9,94,12207.0
2019,9,95,1913.0
2019,9,96,856.0
2019,9,97,8527.0
2019,10,101,6586.0
2019,10,102,17487.0
2019,10,103,14133.0
2019,10,104,26603.0
2019,10,105,7401.0
2019,10,106,2193.0
2019,10,107,20814.0
2019,11,111,9528.0
2019,11,112,13100.0
2019,11,113,15099.0
2019,11,114,17277.0
2019,11,115,12497.0
2019,11,116,17143.0
2019,11,117,11036.0
2019,12,121,8436.0
2019,12,122,4724.0
2019,12,123,8263.0
2019,12,124,7646.0
2019,12,125,9763.0
2019,12,126,4990.0
2019,12,127,5958.0
2019,13,131,12686.0
2019,13,132,15846.0
2019,13,133,15013.0
2019,13,134,16007.0
2019,13,135,10797.0
2019,13,136,18116.0
2019,14,141,3283.0
2019,14,142,2165.0
2019,14,143,10835.0
2019,14,144,7177.0
2019,14,145,6869.0
2019,14,146,7218.0
2019,15,151,19885.0
2019,15,152,23919.0
2019,15,153,10338.0
2019,15,154,9059.0
2019,15,155,7529.0
2019,15,156,4867.0
2019,15,157,2564.0
2019,15,158,565.0
2019,15,159,7932.0
2019,16,161,2193.0
2019,16,162,4879.0
2019,16,163,16012.0
2019,16,164,21273.0
2019,16,165,5797.0
2019,16,166,19945.0
2019,17,171,16378.0
2019,17,172,5116.0
2019,17,173,6609.0
2019,17,174,13206.0
2019,17,175,12024.0
2019,18,181,14839.0
2019,18,182,8937.0
2019,18,183,18461.0
2019,19,191,13210.0
2019,19,192,6103.0
2019,19,193,6304.0
2019,19,194,615.0
2019,20,201,10877.0
2019,20,202,3694.0
2019,20,203,3361.0
2019,20,204,8976.0
2019,20,205,11061.0
2019,20,206,6689.0
2019,20,207,10944.0
2019,20,208,4294.0
2019,21,211,7249.0
2019,21,212,687.0
2019,21,213,3119.0
2019,21,214,4634.0
2019,21,215,2580.0
2020,1,11,11583.0
2020,1,12,22564.0
2020,1,13,5449.0
2020,1,14,8856.0
2020,1,15,16913.0
2020,1,16,3822.0
2020,2,21,9689.0
2020,2,22,15565.0
2020,2,23,8653.0
2020,2,24,7686.0
2020,2,25,11720.0
2020,2,26,11923.0
2020,2,27,434.0
2020,3,31,14782.0
2020,3,32,7772.0
2020,3,33,8735.0
2020,3,34,9376.0
2020,3,35,2785.0
2020,3,36,5702.0
2020,4,41,6693.0
2020,4,42,13313.0
2020,4,43,9345.0
2020,4,44,17851.0
2020,4,45,9315.0
2020,4,46,6960.0
2020,5,51,6143.0
2020,5,52,16066.0
2020,5,53,8097.0
2020,5,54,12461.0
2020,5,55,9315.0
2020,5,56,6715.0
2020,6,61,12039.0
2020,6,62,15227.0
2020,6,63,9440.0
2020,6,64,9400.0
2020,6,65,10763.0
2020,6,66,10437.0
2020,7,71,10637.0
2020,7,72,11359.0
2020,7,73,11859.0
2020,7,74,8088.0
2020,7,75,12221.0
2020,7,76,8479.0
2020,8,81,1320.0
2020,8,82,1129.0
2020,8,83,17145.0
2020,8,84,19668.0
2020,8,85,12585.0
2020,8,86,23115.0
2020,8,87,10898.0
2020,8,88,5790.0
2020,9,91,5624.0
2020,9,92,10490.0
2020,9,93,6225.0
2020,9,94,12460.0
2020,9,95,1984.0
2020,9,96,872.0
2020,9,97,8706.0
2020,10,101,6644.0
2020,10,102,17587.0
2020,10,103,14243.0
2020,10,104,26836.0
2020,10,105,7481.0
2020,10,106,2223.0
2020,10,107,20876.0
2020,11,111,9633.0
2020,11,112,13211.0
2020,11,113,15312.0
2020,11,114,17496.0
2020,11,115,12701.0
2020,11,116,17395.0
2020,11,117,11175.0
2020,12,121,8437.0
2020,12,122,4768.0
2020,12,123,8316.0
2020,12,124,7710.0
2020,12,125,9881.0
2020,12,126,5049.0
2020,12,127,6028.0
2020,13,131,12801.0
2020,13,132,16135.0
2020,13,133,15164.0
2020,13,134,16112.0
2020,13,135,10881.0
2020,13,136,18308.0
2020,14,141,3294.0
2020,14,142,2195.0
2020,14,143,10901.0
2020,14,144,7210.0
2020,14,145,6938.0
2020,14,146,7287.0
2020,15,151,20069.0
2020,15,152,24185.0
2020,15,153,10460.0
2020,15,154,9207.0
2020,15,155,7545.0
2020,15,156,4939.0
2020,15,157,2640.0
2020,15,158,573.0
2020,15,159,8011.0
2020,16,161,2219.0
2020,16,162,4914.0
2020,16,163,16155.0
2020,16,164,21446.0
2020,16,165,5835.0
2020,16,166,21182.0
2020,17,171,16586.0
2020,17,172,5198.0
2020,17,173,6967.0
2020,17,174,13277.0
2020,17,175,12384.0
2020,18,181,14957.0
2020,18,182,9063.0
2020,18,183,19407.0
2020,19,191,13375.0
2020,19,192,6136.0
2020,19,193,6335.0
2020,19,194,975.0
2020,20,201,11063.0
2020,20,202,3721.0
2020,20,203,3408.0
2020,20,204,9033.0
2020,20,205,11138.0
2020,20,206,6844.0
2020,20,207,11011.0
2020,20,208,4347.0
2020,21,211,7366.0
2020,21,212,705.0
2020,21,213,3175.0
2020,21,214,4755.0
2020,21,215,2605.0
2021,1,11,11613.0
2021,1,12,22614.0
2021,1,13,5488.0
2021,1,14,8927.0
2021,1,15,16967.0
2021,1,16,3895.0
2021,2,21,9628.0
2021,2,22,15474.0
2021,2,23,8626.0
2021,2,24,7603.0
2021,2,25,11826.0
2021,2,26,11802.0
2021,2,27,520.0
2021,3,31,14625.0
2021,3,32,7774.0
2021,3,33,8722.0
2021,3,34,9304.0
2021,3,35,2776.0
2021,3,36,5679.0
2021,4,41,6619.0
2021,4,42,13145.0
2021,4,43,9266.0
2021,4,44,17813.0
2021,4,45,9211.0
2021,4,46,6947.0
2021,5,51,6146.0
2021,5,52,15906.0
2021,5,53,8056.0
2021,5,54,12406.0
2021,5,55,9223.0
2021,5,56,6676.0
2021,6,61,11967.0
2021,6,62,15146.0
2021,6,63,9367.0
2021,6,64,9375.0
2021,6,65,10795.0
2021,6,66,10423.0
2021,7,71,10528.0
2021,7,72,11203.0
2021,7,73,11704.0
2021,7,74,8011.0
2021,7,75,12082.0
2021,7,76,8408.0
2021,8,81,1315.0
2021,8,82,1135.0
2021,8,83,17118.0
2021,8,84,19496.0
2021,8,85,12522.0
2021,8,86,22939.0
2021,8,87,11038.0
2021,8,88,5845.0
2021,9,91,5588.0
2021,9,92,10411.0
2021,9,93,6193.0
2021,9,94,12508.0
2021,9,95,1986.0
2021,9,96,905.0
2021,9,97,8770.0
2021,10,101,6629.0
2021,10,102,17566.0
2021,10,103,14237.0
2021,10,104,26839.0
2021,10,105,7428.0
2021,10,106,2213.0
2021,10,107,20844.0
2021,11,111,9617.0
2021,11,112,13209.0
2021,11,113,15311.0
2021,11,114,17469.0
2021,11,115,12708.0
2021,11,116,17437.0
2021,11,117,11120.0
2021,12,121,8437.0
2021,12,122,4772.0
2021,12,123,8296.0
2021,12,124,7907.0
2021,12,125,9808.0
2021,12,126,5049.0
2021,12,127,6016.0
2021,13,131,12749.0
2021,13,132,16125.0
2021,13,133,15130.0
2021,13,134,16074.0
2021,13,135,10842.0
2021,13,136,18371.0
2021,14,141,3300.0
2021,14,142,2181.0
2021,14,143,10815.0
2021,14,144,7163.0
2021,14,145,6899.0
2021,14,146,7215.0
2021,15,151,19993.0
2021,15,152,24178.0
2021,15,153,10367.0
2021,15,154,9088.0
2021,15,155,7509.0
2021,15,156,4903.0
2021,15,157,2602.0
2021,15,158,579.0
2021,15,159,8006.0
2021,16,161,2246.0
2021,16,162,4882.0
2021,16,163,16129.0
2021,16,164,21422.0
2021,16,165,5827.0
2021,16,166,21598.0
2021,17,171,16592.0
2021,17,172,5177.0
2021,17,173,7254.0
2021,17,174,13258.0
2021,17,175,12540.0
2021,18,181,14886.0
2021,18,182,9050.0
2021,18,183,19797.0
2021,19,191,13371.0
2021,19,192,6109.0
2021,19,193,6307.0
2021,19,194,1804.0
2021,20,201,11044.0
2021,20,202,3703.0
2021,20,203,3393.0
2021,20,204,9076.0
2021,20,205,11112.0
2021,20,206,6825.0
2021,20,207,11039.0
2021,20,208,4359.0
2021,21,211,7359.0
2021,21,212,704.0
2021,21,213,3160.0
2021,21,214,4933.0
2021,21,215,2600.0
